Name of Game,Release Date,Category,Platforms Available,Developer,Publisher,Price,Average Rating,Age Restriction,Multiplayer (True/False),Average Completion Time,Trailer Link,Image Link,Description
Resident Evil Village,2021-05-07,Survival Horror,"PC, PS4, PS5, Xbox One, Xbox Series",Capcom,Capcom,$60,8.5,18,True,10-15 hours,https://www.youtube.com/watch?v=btFclZUXpzA,https://www.google.com/search?q=Resident+Evil+Village&tbm=isch,"The eighth major installment in the Resident Evil series, featuring a village filled with terrifying enemies."
It Takes Two,2021-03-26,Action-Adventure,"PC, PS4, PS5, Xbox One, Xbox Series",Hazelight Studios,Electronic Arts,$40,9.0,12,True,12-15 hours,https://www.youtube.com/watch?v=ohClxMmNLQQ,https://www.google.com/search?q=It+Takes+Two+game&tbm=isch,"A cooperative action-adventure game that explores the complexities of relationships, using unique gameplay mechanics."
Metroid Dread,2021-10-08,Action-Adventure,Nintendo Switch,MercurySteam,Nintendo,$60,8.5,12,False,8-12 hours,https://www.youtube.com/watch?v=8NjCICl7dDo,https://www.google.com/search?q=Metroid+Dread&tbm=isch,"A return to the series' side-scrolling roots, offering a tense, atmospheric exploration experience."
Returnal,2021-04-30,Third-Person Shooter,PS5,Housemarque,Sony Interactive Entertainment,$70,8.5,18,False,20-30 hours,https://www.youtube.com/watch?v=UVgwzj62X_g,https://www.google.com/search?q=Returnal&tbm=isch,"A roguelike third-person shooter that combines fast-paced combat with a mysterious, ever-changing alien planet."
Ratchet & Clank: Rift Apart,2021-06-11,Platformer,PS5,Insomniac Games,Sony Interactive Entertainment,$70,9.0,12,False,10-15 hours,https://www.youtube.com/watch?v=ai3o0XtrnM8,https://www.google.com/search?q=Ratchet+%26+Clank%3A+Rift+Apart&tbm=isch,"An interdimensional adventure that showcases the power of the PS5, featuring stunning visuals and innovative gameplay."
Psychonauts 2,2021-08-25,Platform,"PC, PS4, Xbox One, Xbox Series",Double Fine Productions,Xbox Game Studios,$60,9.0,12,False,12-15 hours,https://www.youtube.com/watch?v=EUfUnA2iEZ0,https://www.google.com/search?q=Psychonauts+2&tbm=isch,"A long-awaited sequel offering a deep dive into the human mind, filled with creativity and humor."
Forza Horizon 5,2021-11-09,Racing,"PC, Xbox One, Xbox Series",Playground Games,Xbox Game Studios,$60,9.0,3,True,10-50 hours,https://www.youtube.com/watch?v=d_20X1YM28U,https://www.google.com/search?q=Forza+Horizon+5&tbm=isch,"An open-world racing game set in a beautifully rendered Mexico, offering a vast array of vehicles and events."
Deathloop,2021-09-14,First-Person Shooter,"PC, PS5",Arkane Studios,Bethesda Softworks,$60,8.5,18,True,15-20 hours,https://www.youtube.com/watch?v=mc2hz3LJhTY,https://www.google.com/search?q=Deathloop&tbm=isch,"A time-loop shooter where players must use stealth, strategy, and firepower to break the cycle and escape the loop."
Tales of Arise,2021-09-10,JRPG,"PC, PS4, PS5, Xbox One, Xbox Series",Bandai Namco Studios,Bandai Namco Entertainment,$60,9.0,12,True,40-50 hours,https://www.youtube.com/watch?v=x5Q_3J_oJ7Q,https://www.google.com/search?q=Tales+of+Arise&tbm=isch,A story-driven RPG that combines traditional Tales gameplay elements with a visually stunning world.
Monster Hunter Rise,2021-03-26,Action RPG,"Nintendo Switch, PC",Capcom,Capcom,$60,8.5,12,True,50-100 hours,https://www.youtube.com/watch?v=3LnBHHI2L9A,https://www.google.com/search?q=Monster+Hunter+Rise&tbm=isch,"An action-packed hunting game that expands the series with new mechanics, monsters, and a vibrant setting."
Elden Ring,2022-02-25,Action RPG,"PC, PS4, PS5, Xbox One, Xbox Series",FromSoftware,Bandai Namco,$60,9.5,18,True,50-100 hours,https://www.youtube.com/watch?v=e5wwSxl0atc,https://www.google.com/search?q=Elden+Ring&tbm=isch,"An expansive open-world game combining deep lore with challenging combat, set in the Lands Between."
God of War Ragnarök,2022-11-09,Action-Adventure,"PS4, PS5",Santa Monica Studio,Sony Interactive Entertainment,$70,9.5,18,False,20-35 hours,https://www.youtube.com/watch?v=EE-4GvjKcfs,https://www.google.com/search?q=God+of+War+Ragnarok&tbm=isch,Follows Kratos and Atreus as they venture into the Nine Realms in the face of the impending Ragnarök.
Horizon Forbidden West,2022-02-18,Action RPG,"PS4, PS5",Guerrilla Games,Sony Interactive Entertainment,$60,9.0,12,False,20-80 hours,https://www.youtube.com/watch?v=Lq594XmpPBg,https://www.google.com/search?q=Horizon+Forbidden+West&tbm=isch,Aloy ventures into the Forbidden West to uncover the cause of a mysterious blight.
Call of Duty: Modern Warfare II,2022-10-28,First-Person Shooter,"PC, PS4, PS5, Xbox One, Xbox Series",Infinity Ward,Activision,$70,8.0,18,True,5-8 hours (Campaign),https://www.youtube.com/watch?v=zu3wZ-_IKrM,https://www.google.com/search?q=Call+of+Duty+Modern+Warfare+II+2022&tbm=isch,"A reimagining of the classic Modern Warfare series, featuring both a gripping campaign and dynamic multiplayer modes."
Stray,2022-07-19,Adventure,"PC, PS4, PS5",BlueTwelve Studio,Annapurna Interactive,$30,8.5,3,False,5-7 hours,https://www.youtube.com/watch?v=u84hRUQlaio,https://www.google.com/search?q=Stray+game&tbm=isch,"Play as a cat exploring a mysterious, robot-filled city, solving puzzles and unraveling its secrets."
Pokémon Scarlet and Violet,2022-11-18,RPG,Nintendo Switch,Game Freak,"Nintendo, The Pokémon Company",$60,8.0,3,True,25-40 hours,https://www.youtube.com/watch?v=5bYv7nJUdxE,https://www.google.com/search?q=Pokemon+Scarlet+and+Violet&tbm=isch,"An open-world Pokémon adventure in the new Paldea region, featuring a mix of new and familiar Pokémon."
LEGO Star Wars: The Skywalker Saga,2022-04-05,Action-Adventure,"PC, PS4, PS5, Xbox One, Xbox Series, Switch",TT Games,Warner Bros. Interactive Entertainment,$60,8.5,3,True,15-35 hours,https://www.youtube.com/watch?v=5jz6D2g2B6c,https://www.google.com/search?q=LEGO+Star+Wars+The+Skywalker+Saga&tbm=isch,"The ultimate LEGO Star Wars experience, covering all nine saga films with a unique, humorous twist."
Splatoon 3,2022-09-09,Third-Person Shooter,Nintendo Switch,Nintendo,Nintendo,$60,8.5,12,True,15-20 hours (Multiplayer focus),https://www.youtube.com/watch?v=GUYDXVDLmns,https://www.google.com/search?q=Splatoon+3&tbm=isch,"The third installment in the vibrant ink-based shooter series, featuring new modes, weapons, and arenas."
Xenoblade Chronicles 3,2022-07-29,RPG,Nintendo Switch,Monolith Soft,Nintendo,$60,9.0,12,False,50-100 hours,https://www.youtube.com/watch?v=9tDMLXn99P4,https://www.google.com/search?q=Xenoblade+Chronicles+3&tbm=isch,"An epic saga set in the fantastical world of Alrest, exploring the interconnected lives of its inhabitants."
Total War: Warhammer III,2022-02-17,Strategy,PC,Creative Assembly,Sega,$60,9.0,16,True,20-100 hours,https://www.youtube.com/watch?v=HAr7yUlM0Po,https://www.google.com/search?q=Total+War:+Warhammer+III&tbm=isch,"A grand strategy game set in the Warhammer fantasy universe, offering expansive battles and deep lore."
The Last of Us Part II,2020-06-19,Action-Adventure,PS4,Naughty Dog,Sony Interactive Entertainment,$60,9.5,18,False,25-30 hours,https://www.youtube.com/watch?v=UzdNECcio54,https://www.google.com/search?q=The+Last+of+Us+Part+II&tbm=isch,A deeply emotional journey that continues Ellie and Joel's story in a post-apocalyptic world filled with moral complexities and infected creatures.
Animal Crossing: New Horizons,2020-03-20,Simulation,Nintendo Switch,Nintendo,Nintendo,$60,9.0,3,True,Endless,https://www.youtube.com/watch?v=_3YNL0OWio0,https://www.google.com/search?q=Animal+Crossing%3A+New+Horizons&tbm=isch,"Escape to a deserted island and create your paradise as you explore, create, and customize in the Animal Crossing: New Horizons game."
Doom Eternal,2020-03-20,First-Person Shooter,"PC, PS4, Xbox One, Switch",id Software,Bethesda Softworks,$60,9.0,18,True,12-16 hours,https://www.youtube.com/watch?v=qgvV4GE8vVA,https://www.google.com/search?q=Doom+Eternal&tbm=isch,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity.
Ghost of Tsushima,2020-07-17,Action-Adventure,PS4,Sucker Punch Productions,Sony Interactive Entertainment,$60,9.0,18,False,20-50 hours,https://www.youtube.com/watch?v=Zbq7BnsQhrw,https://www.google.com/search?q=Ghost+of+Tsushima&tbm=isch,"In the late 13th century, the Mongol empire has laid waste to entire nations along their campaign to conquer the East. Tsushima Island is all that stands between mainland Japan and a massive Mongol invasion fleet led by the cunning and ruthless general, Khotun Khan."
Hades,2020-09-17,Roguelike,"PC, Switch",Supergiant Games,Supergiant Games,$25,9.5,12,False,20-100 hours,https://www.youtube.com/watch?v=oVa8Eww9w5Y,https://www.google.com/search?q=Hades+game&tbm=isch,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre."
Valheim,2021-02-02,"Survival, Sandbox",PC,Iron Gate AB,Coffee Stain Publishing,$20,9.0,12,True,100+ hours,https://www.youtube.com/watch?v=oVpCtiUdznQ,https://www.google.com/search?q=Valheim&tbm=isch,A brutal exploration and survival game for 1-10 players set in a procedurally-generated purgatory inspired by Viking culture.
Far Cry 6,2021-10-07,First-Person Shooter,"PC, PS4, PS5, Xbox One, Xbox Series X/S, Stadia",Ubisoft Toronto,Ubisoft,$60,8.0,18,True,20-50 hours,https://www.youtube.com/watch?v=mbGbLWevpC4,https://www.google.com/search?q=Far+Cry+6&tbm=isch,Fight for freedom against a dictator and his son in the tropical paradise of Yara in this guerrilla revolution.
New World,2021-09-28,MMORPG,PC,Amazon Games Orange County,Amazon Games,$40,7.5,16,True,Endless,https://www.youtube.com/watch?v=OKnUBs-Ko44,https://www.google.com/search?q=New+World+game&tbm=isch,"Engage in a massive, open-world MMO filled with danger and opportunity where you'll forge a new destiny for yourself as an adventurer shipwrecked on the supernatural island of Aeternum."
Sekiro: Shadows Die Twice,2019-03-22,Action-Adventure,"PC, PS4, Xbox One",FromSoftware,Activision,$60,9.0,18,False,30-50 hours,https://www.youtube.com/watch?v=4OgoTZXPACo,https://www.google.com/search?q=Sekiro:+Shadows+Die+Twice&tbm=isch,"A challenging journey into the heart of Japan’s late 1500s, combining ninja stealth with visceral combat."
The Outer Worlds,2019-10-25,RPG,"PC, PS4, Xbox One, Switch",Obsidian Entertainment,Private Division,$60,8.5,18,False,25-40 hours,https://www.youtube.com/watch?v=MGLTgt0EEqc,https://www.google.com/search?q=The+Outer+Worlds&tbm=isch,"A player-driven story set in a sci-fi universe, with deep character customization and impactful choices."
Death Stranding,2019-11-08,"Action, Adventure","PS4, PC",Kojima Productions,"Sony Interactive Entertainment (PS4), 505 Games (PC)",$60,8.5,18,False,40-60 hours,https://www.youtube.com/watch?v=piIgkJWDuQg,https://www.google.com/search?q=Death+Stranding&tbm=isch,"From legendary game creator Hideo Kojima comes an all-new, genre-defying experience."
Control,2019-08-27,Action-Adventure,"PC, PS4, Xbox One, Switch",Remedy Entertainment,505 Games,$60,8.5,16,False,10-15 hours,https://www.youtube.com/watch?v=PT5yMfC9LQM,https://www.google.com/search?q=Control+game&tbm=isch,A visually stunning third-person action-adventure that will keep you on the edge of your seat.
Star Wars Jedi: Fallen Order,2019-11-15,Action-Adventure,"PC, PS4, Xbox One",Respawn Entertainment,Electronic Arts,$60,9.0,16,False,20-30 hours,https://www.youtube.com/watch?v=0GLbwkfhYZk,https://www.google.com/search?q=Star+Wars+Jedi:+Fallen+Order&tbm=isch,A new action-adventure game that tells an original Star Wars story about a surviving Padawan set shortly after the events of Star Wars: Episode III - Revenge of the Sith.
Apex Legends,2019-02-04,Battle Royale,"PC, PS4, Xbox One, Switch",Respawn Entertainment,Electronic Arts,Free-to-play,8.5,16,True,Endless,https://www.youtube.com/watch?v=UMJb_mkqynU,https://www.google.com/search?q=Apex+Legends&tbm=isch,"A free-to-play Battle Royale game where legendary competitors battle for glory, fame, and fortune on the fringes of the Frontier."
Fire Emblem: Three Houses,2019-07-26,Tactical RPG,Nintendo Switch,"Intelligent Systems, Koei Tecmo",Nintendo,$60,9.5,12,False,40-80 hours,https://www.youtube.com/watch?v=ADaRsEhTB70,https://www.google.com/search?q=Fire+Emblem:+Three+Houses&tbm=isch,"A turn-based tactical RPG that lets you control a character who is hired to teach at a prestigious academy, influencing the fate of a continent on the verge of war."
Luigi's Mansion 3,2019-10-31,Action-Adventure,Nintendo Switch,Next Level Games,Nintendo,$60,8.5,3,True,12-15 hours,https://www.youtube.com/watch?v=RSGgCfbYrg0,https://www.google.com/search?q=Luigi%27s+Mansion+3&tbm=isch,Luigi's dream vacation turns into a ghostly—and gooey— nightmare in Luigi's Mansion 3!
Gears 5,2019-09-10,Third-Person Shooter,"PC, Xbox One",The Coalition,Xbox Game Studios,$60,8.5,18,True,10-12 hours,https://www.youtube.com/watch?v=4IP_EPLfvSo,https://www.google.com/search?q=Gears+5&tbm=isch,"The world is crumbling. The Swarm has corrupted the Coalition's robot army and is descending upon human cities. With danger closing in, Kait Diaz breaks away to uncover her connection to the enemy and discovers the true danger to Sera – herself."
Borderlands 3,2019-09-13,"Action RPG, First-Person Shooter","PC, PS4, Xbox One, Stadia",Gearbox Software,2K Games,$60,8.0,18,True,30-50 hours,https://www.youtube.com/watch?v=d9Gu1PspA3Y,https://www.google.com/search?q=Borderlands+3&tbm=isch,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure!"
God of War,2018-04-20,Action-Adventure,PS4,Santa Monica Studio,Sony Interactive Entertainment,$60,9.5,18,False,20-50 hours,https://www.youtube.com/watch?v=K0u_kAWLJOA,https://www.google.com/search?q=God+of+War+2018&tbm=isch,"Kratos and his son Atreus set out on a deeply personal quest into the Norse wilds, fighting gods and monsters to fulfill a promise to his deceased wife."
Red Dead Redemption 2,2018-10-26,Action-Adventure,"PS4, Xbox One, PC",Rockstar Games,Rockstar Games,$60,9.5,18,True,50-200 hours,https://www.youtube.com/watch?v=HVRzx17WHVk,https://www.google.com/search?q=Red+Dead+Redemption+2&tbm=isch,"An epic tale of life in America at the dawn of the modern age, following Arthur Morgan and the Van der Linde gang as they flee across the heartland of America."
Marvel's Spider-Man,2018-09-07,Action-Adventure,PS4,Insomniac Games,Sony Interactive Entertainment,$60,9.0,12,False,20-30 hours,https://www.youtube.com/watch?v=n9WEU4kRRrg,https://www.google.com/search?q=Marvel%27s+Spider-Man+2018&tbm=isch,Swing through vibrant neighborhoods and defeat villains as the iconic Spider-Man in this original storyline inspired by the comic books.
Monster Hunter: World,2018-01-26,Action RPG,"PS4, Xbox One, PC",Capcom,Capcom,$60,9.0,12,True,50-100 hours,https://www.youtube.com/watch?v=Ro6r15wzp2o,https://www.google.com/search?q=Monster+Hunter+World&tbm=isch,"Hunters traverse a new world packed with surprises and excitement, engaging in epic battles against fearsome monsters."
Celeste,2018-01-25,Platformer,"PC, PS4, Xbox One, Switch",Matt Makes Games,Matt Makes Games,$20,9.5,3,False,10-15 hours,https://www.youtube.com/watch?v=70d9irlxiB4,https://www.google.com/search?q=Celeste+game&tbm=isch,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer."
Assassin's Creed Odyssey,2018-10-05,Action RPG,"PC, PS4, Xbox One, Stadia",Ubisoft Quebec,Ubisoft,$60,8.5,18,False,40-100 hours,https://www.youtube.com/watch?v=s_SJZSAtLBA,https://www.google.com/search?q=Assassin%27s+Creed+Odyssey&tbm=isch,Embark on an epic journey in ancient Greece to become a legendary Spartan hero.
